id,name
1267,Astral Byte Ltd.
1268,PlayEveryWare
1269,Scorpius Games
1270,AAD Productions
1271,Digital Dreams Entertainment LLC
1272,Masthead Studios Ltd
1273,Rat King Entertainment
1274,MoaCube
1275,Vector Games
1276,Camshaft Software Ltd
1277,Powerhoof
1278,Sunken Places
1279,Psydra Games LLC
1280,Fixpoint Productions Ltd.
1281,Exkee
1282,Aartform Games
1283,Wax Lyrical Games
1284,VaragtP
1285,Lumenox ehf
1286,Ludeon Studios
1287,Kabam
1288,Zojoi
1289,Ubisoft SF
1290,Dovetail Games 
1291,Dovetail Games\t
1292,Italic Pig Limited
1293,Heart Shaped Games LLC
1294,Magnetic Realms
1295,Artem Kotov
1296,PPC
1297,Graphite Lab
1298,Andy Makes
1299,Psychic Software
1300,Windybeard
1301,Auren Snyder
1302,Hippomancer
1303,E-Line Media
1304,Nick Donnelly
